2017-12-03 11:05:12.300 INFO  /:{} 
2017-12-03 11:05:14.238 INFO  /favicon.ico:{} 
2017-12-03 11:06:07.263 INFO  /admin/getAdminContent?adminId=1:{} 
2017-12-03 11:09:36.019 INFO  /admin/getAdminContent?adminId=1:{} 
2017-12-03 11:14:22.652 INFO  /admin/getAdminContent?adminId=1:{} 
2017-12-03 11:25:32.411 INFO  /viewer/login:{"query":"{ person(age: 99 ) }"} 
2017-12-03 11:27:45.648 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:27:49.168 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:27:50.076 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:31:03.464 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:31:22.309 INFO  /contentProvider/getContent?contentProviderid=1:{"query":"{ person(age: 99 ) }"} 
2017-12-03 11:31:53.692 INFO  /contentProvider/getContent?contentProviderid=1:{"query":"{ person(age: 99 ) }"} 
2017-12-03 11:31:54.253 INFO  /contentProvider/getContent?contentProviderId=1:{} 
2017-12-03 11:32:09.539 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:45:25.720 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:46:33.249 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:48:48.125 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:49:47.950 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:50:45.634 INFO  /contentProvider/getContent?contentProviderid=1:{} 
2017-12-03 11:53:13.960 INFO  /contentProvider/getContent?contentProviderId=1:{} 
2017-12-03 11:55:23.721 INFO  //viewer/getViewerContent?viewerId=1:{} 
2017-12-03 12:01:41.345 INFO  /viewer/login?email=%27shruti@gmail.com%27,password=%27shruti123:{} 
2017-12-03 12:11:27.912 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:26:28.004 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:34:47.027 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:37:32.196 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:37:54.756 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:37:57.866 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:39:12.049 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:39:12.424 INFO  /viewer/getViewerContent?viewerId=5&format=json:{} 
2017-12-03 12:40:17.521 INFO  /adProvider/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:41:30.782 INFO  /contentProvider/login:{"email":"sony@gmail.com","password":"sony123#"} 
2017-12-03 12:41:53.998 INFO  /viewer/login:{"email":"shruti@gmail.com","password":"shruti123#"} 
2017-12-03 12:41:54.515 INFO  /viewer/getViewerContent?viewerId=5&format=json:{} 
2017-12-03 12:42:33.488 INFO  /contentProvider/login:{"email":"sony@gmail.com","password":"sony123#"} 
2017-12-03 12:43:48.770 INFO  /contentProvider/login:{"email":"sony@gmail.com","password":"sony123#"} 
2017-12-03 12:43:49.155 INFO  /contentProvider/getContent?contentProviderId=1&format=json:{} 
2017-12-03 12:44:03.981 INFO  /contentProvider/getContent?contentProviderId=1&format=json:{} 
